region,activity,s_ele,u_need,net,residual
AT,Bioenergy,14397.672601718084,697.2774367216821,697.2774367216821,13700.395164996402
AT,"Biogasification of food waste, incl. land application",65.76651065945245,0.4294751655384074,0.4294751655384074,65.33703549391404
AT,"Biogasification of paper, incl. land application",9.134237592157255,0.0544940117856825,0.0544940117856825,9.079743580371574
AT,"Biogasification of sewage slugde, incl. land application",50.74632824680929,0.2654842970160925,0.2654842970160925,50.4808439497932
AT,Coal,66.13223180152426,2.5382844975309165,2.5382844975309165,63.59394730399334
AT,Gas,23674.76411432487,889.2662452813754,889.2662452813754,22785.497869043495
AT,Hydro,128469.79633179482,5862.882214519977,5862.882214519977,122606.91411727484
AT,Incineration of waste: Food,598.272910018736,215.41268310496355,215.41268310496355,382.8602269137724
AT,Incineration of waste: Oil/Hazardous waste,1599.9281680309275,183.79027589504992,183.79027589504992,1416.1378921358776
AT,Incineration of waste: Paper,813.0954831369979,189.72420623909144,189.72420623909144,623.3712768979065
AT,Incineration of waste: Plastic,1431.2540970399043,137.52995681007883,137.52995681007883,1293.7241402298255
AT,Incineration of waste: Textiles,134.98070905092928,29.811407919537412,29.811407919537412,105.16930113139186
AT,Incineration of waste: Wood,290.7848058496919,58.5785895028967,58.5785895028967,232.2062163467952
AT,Other Fossil,10835.316233866924,405.64446701388385,405.64446701388385,10429.67176685304
AT,Other Renewables,0.0157931489233233,0.000515249423274,0.000515249423274,0.0152778995000493
AT,Solar,20198.84049190128,773.5912523897747,773.5912523897747,19425.249239511504
AT,Wind,25384.9757835635,972.9156086357762,972.9156086357762,24412.060174927723
AU,Bioenergy,13203.908703236471,722.4300940895,722.4300940895,12481.478609146972
AU,"Biogasification of food waste, incl. land application",5496.947093630863,66.43062158478985,66.43062158478985,5430.5164720460725
AU,"Biogasification of paper, incl. land application",610.7718993126878,6.232914641719146,6.232914641719146,604.5389846709686
AU,"Biogasification of sewage slugde, incl. land application",81.17055001262784,0.7812954884173707,0.7812954884173707,80.38925452421047
AU,Coal,385924.92665845185,21290.550605570792,21290.550605570792,364634.37605288107
AU,Gas,147754.22789905837,8150.17613007517,8150.17613007517,139604.0517689832
AU,Hydro,47684.31093598322,2631.007422977931,2631.007422977931,45053.30351300529
AU,Other Fossil,14708.521124817707,814.7006045450074,814.7006045450074,13893.8205202727
AU,Solar,126900.50625522665,7000.36983215667,7000.36983215667,119900.13642306998
AU,Wind,94898.70734852328,5236.955475567969,5236.955475567969,89661.75187295531
BE,Bioenergy,13762.491132342922,19.182119773021387,19.182119773021387,13743.309012569902
BE,"Biogasification of food waste, incl. land application",305.32235695053316,2.5864672215560747,2.5864672215560747,302.7358897289771
BE,"Biogasification of paper, incl. land application",42.40588290921608,0.2348735756144938,0.2348735756144938,42.17100933360159
BE,"Biogasification of sewage slugde, incl. land application",742.1111966244652,4.984776060880938,4.984776060880938,737.1264205635842
BE,Coal,145.13883189747293,5.729975829119396,5.729975829119396,139.40885606835354
BE,Gas,66196.33726531826,2613.3019581956623,2613.3019581956623,63583.0353071226
BE,Hydro,1471.6570835289913,74.52529191865128,74.52529191865128,1397.13179161034
BE,Incineration of waste: Food,2076.5888944790436,721.7613514894002,721.7613514894002,1354.8275429896435
BE,Incineration of waste: Oil/Hazardous waste,6632.236838889105,716.6335411249039,716.6335411249039,5915.603297764201
BE,Incineration of waste: Paper,2229.903710146763,304.4715338749387,304.4715338749387,1925.4321762718241
BE,Incineration of waste: Plastic,2073.2129186399993,116.09166114254144,116.09166114254144,1957.121257497458
BE,Incineration of waste: Textiles,468.51434632367625,59.80871561069916,59.80871561069916,408.7056307129771
BE,Incineration of waste: Wood,862.3305791993782,93.7219135182264,93.7219135182264,768.6086656811518
BE,Other Fossil,13355.668072360975,333.03146274616796,333.03146274616796,13022.636609614807
BE,Solar,28303.881931128144,4006.1985804155897,4006.1985804155897,24297.683350712556
BE,Wind,55897.995160632985,2206.757807200927,2206.757807200927,53691.23735343206
BE,Nuclear,119179.97363682793,1366.7300915764636,1366.7300915764636,117813.24354525146
BG,Bioenergy,6846.324029138248,0.0,0.0,6846.324029138248
BG,"Biogasification of sewage slugde, incl. land application",19.96779363003632,0.072441771876696,0.072441771876696,19.89535185815962
BG,Coal,42846.891397874526,8073.650853955135,8073.650853955135,34773.24054391939
BG,Gas,7094.771529154565,354.7385764171624,354.7385764171624,6740.032952737402
BG,Hydro,11252.699690031097,562.6349845015548,562.6349845015548,10690.064705529541
BG,Incineration of waste: Food,9.252013308903184,10.012464708384888,9.252013308903184,0.0
BG,Incineration of waste: Oil/Hazardous waste,36.70223396713688,27.277632503800163,27.277632503800163,9.424601463336714
BG,Incineration of waste: Paper,12.544054292356767,3.9843962354659337,3.9843962354659337,8.559658056890834
BG,Incineration of waste: Plastic,5.4583464101162225,1.5929237822143298,1.5929237822143298,3.865422627901893
BG,Incineration of waste: Textiles,2.0874141134599538,1.46720997640114,1.46720997640114,0.6202041370588138
BG,Incineration of waste: Wood,3.0199740090904736,1.9879708727200711,1.9879708727200711,1.0320031363704025
BG,Other Fossil,1144.2847551702848,162.88884195759988,162.88884195759988,981.395913212685
BG,Solar,12862.267290164737,1928.270236245599,1928.270236245599,10933.997053919138
BG,Wind,5786.313998703669,867.4658059735399,867.4658059735399,4918.848192730129
BG,Nuclear,59049.57671784425,8852.524884211836,8852.524884211836,50197.05183363241
BR,Bioenergy,235009.30492910452,0.0,0.0,235009.30492910452
BR,Coal,22072.588239039535,260.20819342143784,260.20819342143784,21812.380045618098
BR,Gas,96716.7283372118,1129.3867782534523,1129.3867782534523,95587.34155895835
BR,Hydro,1067699.9437007064,12461.161204400818,12461.161204400818,1055238.7824963056
BR,Other Fossil,40188.53989112424,458.6157001404404,458.6157001404404,39729.924190983795
BR,Solar,126904.2891450414,0.0,0.0,126904.2891450414
BR,Wind,240111.1780230676,2818.1081472632964,2818.1081472632964,237293.0698758043
BR,Nuclear,36351.56449348005,423.6971140885468,423.6971140885468,35927.86737939151
CA,Bioenergy,36310.54835138703,639.3297094892363,639.3297094892363,35671.218641897794
