site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
AD,Y21,0.457,,0.457,,,,,0.527,,,0.415,,,,,0.174,,,0.324,0.4,0.03,0.1,,,
AD,Y22,0.492,,0.492,,,,,0.578,,,0.447,,,,,0.142,,,0.261,0.4,0.02,0.1,,,
AD,Y23,0.562,,0.562,,,,,0.559,,,0.565,,,,,0.169,,,0.284,0.4,0.03,0.1,,,
AE,Y21,0.356,0.356,,,,,,0.356,0.34,0.667,0.303,,,,,0.356,0.34,0.667,0.303,1348.1,133.23,0.0,,UNSD,UNSD
AE,Y22,0.343,0.343,,,,,,0.343,0.343,0.667,0.297,,,,,0.343,0.343,0.667,0.297,1342.5,127.79,0.0,,UNSD,UNSD
AE,Y23,0.366,0.366,,,,,,0.365,0.339,0.667,0.565,,,,,0.365,0.339,0.667,0.565,1191.6,121.21,0.0,,UNSD,UNSD
AF,Y21,0.36,0.36,,,,,,0.4,0.276,,,,,,,0.4,0.276,,,2.6,0.26,0.0,,REVIEW|dtot,UNSD(eta)
AF,Y22,0.371,0.371,,,,,,0.4,0.268,,,,,,,0.4,0.268,,,2.3,0.24,0.0,,REVIEW|dtot,UNSD(eta)
AF,Y23,0.372,0.372,,,,,,0.4,0.255,,,,,,,0.4,0.255,,,1.7,0.17,0.0,,REVIEW|dtot,UNSD(eta)
AG,Y21,0.322,0.322,,,,,,,0.322,,,,,,,,0.322,,,3.9,0.35,0.0,,UNSD,UNSD
AG,Y22,0.325,0.325,,,,,,,0.325,,,,,,,,0.325,,,3.9,0.35,0.0,,UNSD,UNSD
AG,Y23,0.34,0.34,,,,,,,0.34,,,,,,,,0.34,,,3.9,0.37,0.0,,UNSD,UNSD
AI,Y21,0.353,0.353,,,,,,,0.353,,,,,,,,0.353,,,1.0,0.1,0.0,,,
AI,Y22,0.375,0.375,,,,,,,0.375,,,,,,,,0.375,,,1.0,0.1,0.0,,,
AI,Y23,0.375,0.375,,,,,,,0.375,,,,,,,,0.375,,,1.0,0.11,0.0,,,
AM,Y21,0.379,0.378,0.574,,,,,0.379,,,,,,,,0.378,,,,32.2,3.38,0.0,,UNSD,UNSD
AM,Y22,0.423,0.423,0.299,,,,,0.423,,,,,,,,0.423,,,,33.0,3.88,0.0,eta_chp_total,UNSD,UNSD
AM,Y23,0.449,0.45,0.392,,,,,0.449,,,,,,,,0.449,,,,29.8,3.72,0.0,,UNSD,UNSD
AO,Y21,0.367,0.367,,,,,,0.427,0.301,0.641,,,,,,0.427,0.301,0.641,,34.3,3.5,0.0,,UNSD,UNSD
AO,Y22,0.365,0.365,,,,,,0.486,0.277,0.641,,,,,,0.486,0.277,0.641,,30.1,3.05,0.0,,UNSD,UNSD
AO,Y23,0.313,0.313,,,,,,0.486,0.249,0.641,,,,,,0.486,0.249,0.641,,47.0,4.08,0.0,,UNSD,UNSD
AR,Y21,0.418,0.417,,0.264,0.368,,,0.458,0.229,0.291,,0.264,0.368,,,0.458,0.229,0.291,,927.8,107.63,0.0,,REVIEW,UNSD(eta)
AR,Y22,0.456,0.456,,0.273,0.375,,,0.506,0.395,0.194,,0.273,0.375,,,0.506,0.395,0.194,,771.5,97.69,0.0,,REVIEW,UNSD(eta)
AR,Y23,0.419,0.419,,0.264,0.181,,,0.461,0.371,0.153,,0.264,0.181,,,0.461,0.371,0.153,,733.8,85.35,0.0,,REVIEW,UNSD(eta)
AS,Y21,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,1.8,0.18,0.0,,UNSD,UNSD
AS,Y22,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,1.8,0.18,0.0,,UNSD,UNSD
AS,Y23,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,1.8,0.18,0.0,,UNSD,UNSD
AT,Y21,0.663,0.377,0.752,0.687,0.42,,,0.686,0.418,0.767,0.582,0.573,0.362,,,0.37,0.175,0.196,0.16,238.8,18.68,91.0,,UNSD,UNSD
AT,Y22,0.679,0.445,0.756,0.723,0.449,,,0.69,0.686,0.751,0.575,0.72,0.387,,,0.41,0.274,0.21,0.169,221.4,19.01,81.9,,UNSD,UNSD
AT,Y23,0.678,0.4,0.76,0.866,0.451,,,0.705,0.714,0.748,0.543,0.866,0.387,,,0.376,0.293,0.205,0.157,197.9,15.49,78.4,,UNSD,UNSD
AU,Y21,0.322,0.32,0.344,0.313,,,,0.346,0.372,0.459,,0.313,,,,0.346,0.372,0.459,,2215.1,198.1,0.0,eta_chp_total,UNSD,UNSD
AU,Y22,0.323,0.321,0.341,0.314,,,,0.345,0.394,0.453,,0.314,,,,0.345,0.394,0.453,,2126.8,190.73,0.0,eta_chp_total,UNSD,UNSD
AU,Y23,0.321,0.319,0.341,0.311,,,,0.341,0.391,0.441,,0.311,,,,0.341,0.391,0.441,,2071.9,184.46,0.0,eta_chp_total,UNSD,UNSD
AW,Y21,0.343,0.343,,,,,,,0.343,,,,,,,,0.343,,,8.1,0.77,0.0,,UNSD,UNSD
AW,Y22,0.338,0.338,,,,,,,0.338,,,,,,,,0.338,,,8.3,0.78,0.0,,UNSD,UNSD
AW,Y23,0.338,0.338,,,,,,,0.338,,,,,,,,0.338,,,8.3,0.78,0.0,,UNSD,UNSD
AZ,Y21,0.43,0.42,0.416,,,,,0.434,0.379,,0.23,,,,,0.374,0.378,,0.23,255.6,26.46,14.7,,UNSD,UNSD
AZ,Y22,0.433,0.422,0.423,,,,,0.435,0.366,,0.239,,,,,0.38,0.355,,0.239,259.8,27.3,14.1,,UNSD,UNSD
AZ,Y23,0.435,0.42,0.44,,,,,0.437,0.378,,0.252,,,,,0.378,0.368,,0.252,261.8,27.41,15.2,,UNSD,UNSD
BA,Y21,0.35,0.32,0.67,0.339,0.202,,,0.827,0.458,0.648,,0.316,0.202,,,0.008,0.277,0.072,,133.1,11.29,6.0,,UNSD,UNSD
BA,Y22,0.342,0.312,0.711,0.33,0.24,,,0.845,0.457,0.709,,0.308,0.24,,,0.017,0.309,0.067,,134.0,11.14,5.7,,UNSD,UNSD
BA,Y23,0.335,0.302,0.701,0.322,0.219,,,0.839,0.377,0.701,,0.297,0.219,,,0.016,0.307,0.069,,122.6,9.81,5.7,,UNSD,UNSD
BB,Y21,0.545,0.545,,,,,,0.544,0.548,0.307,,,,,,0.544,0.548,0.307,,6.2,0.94,0.0,,UNSD,UNSD
BB,Y22,0.48,0.48,,,,,,0.522,0.48,0.44,,,,,,0.522,0.48,0.44,,7.2,0.96,0.0,,UNSD,UNSD
BB,Y23,0.486,0.486,,,,,,0.49,0.488,0.426,,,,,,0.49,0.488,0.426,,7.3,0.98,0.0,,UNSD,UNSD
BD,Y21,0.401,0.401,,0.298,,,,0.419,0.334,,,0.298,,,,0.419,0.334,,,809.2,90.03,0.0,,UNSD,UNSD
BD,Y22,0.421,0.421,,0.331,,,,0.433,0.401,,,0.331,,,,0.433,0.401,,,801.9,93.81,0.0,,UNSD,UNSD
BD,Y23,0.373,0.373,,0.328,,,,0.402,0.324,,,0.328,,,,0.402,0.324,,,973.1,100.93,0.0,,UNSD,UNSD
BE,Y21,0.541,0.429,0.661,0.841,0.414,,,0.614,0.636,0.508,0.314,0.841,0.414,,,0.518,0.612,0.449,0.212,242.3,30.68,20.6,,UNSD,UNSD
BE,Y22,0.529,0.432,0.646,0.842,0.419,,,0.592,0.642,0.496,0.33,0.842,0.419,,,0.51,0.633,0.437,0.239,243.2,30.77,17.9,,UNSD,UNSD
BE,Y23,0.537,0.43,0.63,0.848,0.417,,,0.614,0.643,0.554,0.303,0.848,0.417,,,0.532,0.628,0.44,0.227,199.3,25.41,15.5,,UNSD,UNSD
BF,Y21,0.356,0.356,,,,,,,0.417,0.29,0.158,,,,,,0.417,0.29,0.158,15.0,1.49,0.0,,REVIEW,UNSD(eta)
