site,decision,year,tvd,dtot,unsd_twh,ember_twh,chp_share_of_thermal,autoproducer_share,years_compared
AE,UNSD,Y23,0.0114,0.007,168.71,167.53,0.0,0.0,Y21:tvd=0.027;Y22:tvd=0.009;Y23:tvd=0.011
AF,REVIEW|dtot,Y23,0.1177,0.3446,1.3,0.97,0.0,0.255,Y21:tvd=0.142;Y22:tvd=0.156;Y23:tvd=0.118
AG,UNSD,Y23,0.0058,0.0891,0.39,0.36,0.0,0.042,Y21:tvd=0.004;Y22:tvd=0.009;Y23:tvd=0.006
AL,UNSD,Y23,0.0003,0.0004,9.01,9.01,,0.0,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.000
AM,UNSD,Y23,0.0177,0.0181,8.81,8.65,0.002,0.04,Y21:tvd=0.014;Y22:tvd=0.077;Y23:tvd=0.018
AO,UNSD,Y23,0.0276,0.1217,15.76,17.94,0.0,0.049,Y21:tvd=0.059;Y22:tvd=0.067;Y23:tvd=0.028
AR,REVIEW,Y23,0.0505,0.0293,152.91,148.56,0.0,0.083,Y21:tvd=0.043;Y22:tvd=0.010;Y23:tvd=0.050
AS,UNSD,Y23,0.0224,0.0744,0.18,0.17,0.0,0.0,Y21:tvd=0.037;Y22:tvd=0.033;Y23:tvd=0.022
AT,UNSD,Y23,0.0093,0.0094,70.61,71.28,0.607,0.191,Y21:tvd=0.004;Y22:tvd=0.003;Y23:tvd=0.009
AU,UNSD,Y23,0.0179,0.0064,274.85,273.11,0.081,0.197,Y21:tvd=0.027;Y22:tvd=0.023;Y23:tvd=0.018
AW,UNSD,Y22,0.0405,0.0363,0.96,1.0,0.0,0.0,Y21:tvd=0.040;Y22:tvd=0.041
AZ,UNSD,Y23,0.0079,0.0075,29.31,29.09,0.179,0.074,Y21:tvd=0.004;Y22:tvd=0.004;Y23:tvd=0.008
BA,UNSD,Y23,0.039,0.018,17.17,16.87,0.029,0.025,Y21:tvd=0.006;Y22:tvd=0.007;Y23:tvd=0.039
BB,UNSD,Y23,0.0262,0.0029,1.1,1.1,0.0,0.017,Y21:tvd=0.014;Y22:tvd=0.033;Y23:tvd=0.026
BD,UNSD,Y23,0.011,0.0331,102.64,106.16,0.0,0.174,Y21:tvd=0.117;Y22:tvd=0.137;Y23:tvd=0.011
BE,UNSD,Y23,0.0034,0.0033,82.42,82.15,0.56,0.208,Y21:tvd=0.002;Y22:tvd=0.003;Y23:tvd=0.003
BF,REVIEW,Y23,0.089,0.0412,1.66,1.73,0.0,0.435,Y21:tvd=0.041;Y22:tvd=0.055;Y23:tvd=0.089
BG,UNSD,Y23,0.0028,0.0024,40.21,40.11,0.328,0.023,Y21:tvd=0.002;Y22:tvd=0.004;Y23:tvd=0.003
BH,UNSD,Y23,0.0002,0.0557,38.18,36.17,0.0,0.446,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.000
BI,REVIEW,Y23,0.116,0.1188,0.34,0.39,0.0,0.048,Y21:tvd=0.179;Y22:tvd=0.148;Y23:tvd=0.116
BJ,UNSD,Y23,0.0436,0.2169,0.78,1.0,0.0,0.201,Y21:tvd=0.003;Y22:tvd=0.013;Y23:tvd=0.044
BM,UNSD,Y23,0.0261,0.1108,0.57,0.64,0.0,0.033,Y21:tvd=0.007;Y22:tvd=0.026;Y23:tvd=0.026
BN,UNSD,Y23,0.014,0.0038,5.61,5.59,0.0,0.272,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.014
