commodity,unit,priority,trade,supply_mix,status,review_candidate,is_energy_carrier,ghg_intensity_tco2eq_per_unit,import_share,n_domestic_producers,secondary_supply_share,min_domestic_hhi,energychain_contrib,supply_mix_source
Additives/Blending Components,tonnes,P1,isard,skip,,False,True,0.7951,0.4525,0,0.0,0.0,0.0,
Anthracite,tonnes,P1,isard,skip,,False,True,0.2211,0.8087,0,0.0,0.0,0.0,
Aviation Gasoline,tonnes,P1,isard,skip,,False,True,0.6721,0.278,0,0.0,0.0,0.0,
BKB/Peat Briquettes,tonnes,P1,skip,skip,,False,True,0.0927,0.0459,0,0.0,0.0,0.0,
Biodiesels,tonnes,P1,isard,skip,,False,True,2.0308,0.2538,1,0.0,0.0,0.0,
Biogas,tonnes,P1,skip,skip,,False,True,0.5023,0.0,0,0.0,0.0,0.0,
Biogasoline,tonnes,P1,skip,skip,,False,True,2.617,0.0408,0,0.0,0.0,0.0,
Bitumen,tonnes,P1,isard,skip,,False,True,0.6943,0.0825,1,0.0,1.0,0.0,
Blast Furnace Gas,tonnes,P1,skip,skip,,False,True,-0.0,0.0,1,0.0,0.0,0.0,
Charcoal,tonnes,P1,skip,skip,,False,True,1.8141,0.0196,0,0.0,0.0,0.0,
Coal Tar,tonnes,P1,isard,skip,,False,True,0.7534,0.0852,0,0.0,0.0,0.0,
Coal gasification hydrogen,kg,P1,skip,skip,,False,True,0.033,0.0,1,0.0,0.0,0.0,
Coal gasification hydrogen with CCS,kg,P1,skip,skip,,False,True,0.02,0.0,1,0.0,0.0,0.0,
Coke Oven Coke,tonnes,P1,isard,skip,,False,True,0.7069,0.2789,1,0.0,0.0,0.0015,
Coke oven gas,tonnes,P1,skip,skip,,False,True,0.7226,0.0,1,0.0,0.0,0.0,
Coking Coal,tonnes,P1,isard,skip,,False,True,0.2827,0.3242,0,0.0,0.0,0.124,
Crude petroleum and services related to crude oil extraction; excluding surveying,tonnes,P1,isard,skip,,False,True,0.4476,0.5661,1,0.0,0.0,0.5056,
Electricity,TJ,P1,pooled,source,done (v3.0),False,True,148.5703,0.0,5,0.0,0.1545,0.8552,EMBER (done)
Electricity need,TJ,P1,pooled,source,done (v3.0),False,True,148.5703,0.0,1,0.0,1.0,0.0,EMBER (done)
Electrolysis hydrogen,kg,P1,skip,skip,,False,True,0.0304,0.0,1,0.0,0.0,0.0,
Ethane,tonnes,P1,skip,skip,,False,True,0.551,0.0036,0,0.0,0.0,0.0,
