tech,country,year,coef,value,unit,provenance
AIR.DOM,AE,Y21,fuel_envelope,15831.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AE,Y22,fuel_envelope,16537.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AE,Y23,fuel_envelope,17948.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AF,Y21,fuel_envelope,1618.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AF,Y22,fuel_envelope,2928.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AF,Y23,fuel_envelope,1173.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AL,Y21,intensity_liquid,3.4828,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AL,Y22,intensity_liquid,4.422,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AL,Y23,intensity_liquid,4.4606,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AM,Y21,intensity_electricity,0.272,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AM,Y22,intensity_electricity,0.2561,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AM,Y23,intensity_electricity,0.336,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,AO,Y21,fuel_envelope,2484.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AO,Y22,fuel_envelope,1764.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AO,Y23,fuel_envelope,183.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AR,Y21,fuel_envelope,9004.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AR,Y22,fuel_envelope,18026.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AR,Y23,fuel_envelope,22491.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AS,Y21,fuel_envelope,132.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AS,Y22,fuel_envelope,132.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,AS,Y23,fuel_envelope,132.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AT,Y21,intensity_electricity,0.2216,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AT,Y21,intensity_liquid,0.0416,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,AT,Y21,intensity_liquid,0.3421,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,AT,Y21,intensity_total,1.1006,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,AT,Y21,fuel_envelope,612.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AT,Y22,intensity_electricity,0.1911,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AT,Y22,intensity_liquid,0.0358,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,AT,Y22,intensity_liquid,0.8111,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,AT,Y22,intensity_total,0.553,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,AT,Y22,fuel_envelope,698.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AT,Y23,intensity_electricity,0.1891,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AT,Y23,intensity_liquid,0.0331,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,AT,Y23,intensity_liquid,0.8656,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,AT,Y23,intensity_total,0.1522,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,AT,Y23,fuel_envelope,712.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AU,Y21,intensity_electricity,0.0271,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AU,Y21,intensity_liquid,0.1115,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,AU,Y21,intensity_liquid,0.2968,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,AU,Y21,fuel_envelope,65856.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AU,Y22,intensity_electricity,0.0264,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AU,Y22,intensity_liquid,0.109,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,AU,Y22,fuel_envelope,84289.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AU,Y23,intensity_electricity,0.0267,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AU,Y23,intensity_liquid,0.1072,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,AU,Y23,fuel_envelope,129901.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AZ,Y21,intensity_electricity,0.1435,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AZ,Y21,intensity_liquid,0.015,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,AZ,Y21,intensity_liquid,0.3997,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,AZ,Y21,intensity_total,0.005,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,AZ,Y21,fuel_envelope,4219.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AZ,Y22,intensity_electricity,0.1439,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AZ,Y22,intensity_liquid,0.0661,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,AZ,Y22,intensity_liquid,0.3521,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,AZ,Y22,intensity_total,0.0028,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,AZ,Y22,fuel_envelope,6733.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,AZ,Y23,intensity_electricity,0.1437,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,AZ,Y23,intensity_liquid,0.0079,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,AZ,Y23,intensity_liquid,0.3704,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,AZ,Y23,intensity_total,0.005,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,AZ,Y23,fuel_envelope,8352.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BA,Y21,intensity_electricity,0.165,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BA,Y22,intensity_electricity,0.177,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BA,Y23,intensity_electricity,0.175,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,BD,Y21,fuel_envelope,896.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BD,Y22,fuel_envelope,882.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BD,Y23,fuel_envelope,1940.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BE,Y21,intensity_electricity,0.7661,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BE,Y21,intensity_liquid,0.1425,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BE,Y21,intensity_liquid,0.7671,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,BE,Y21,fuel_envelope,79.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BE,Y22,intensity_electricity,0.5354,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BE,Y22,intensity_liquid,0.0968,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BE,Y22,intensity_liquid,0.8359,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,BE,Y22,fuel_envelope,88.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BE,Y23,intensity_electricity,0.5052,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BE,Y23,intensity_liquid,0.0898,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BE,Y23,intensity_liquid,0.8994,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,BE,Y23,fuel_envelope,88.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BG,Y21,intensity_electricity,0.2452,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BG,Y21,intensity_liquid,0.0751,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BG,Y21,intensity_liquid,0.0057,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,BG,Y21,intensity_total,4.6721,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,BG,Y21,fuel_envelope,206.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BG,Y22,intensity_electricity,0.2098,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BG,Y22,intensity_liquid,0.0651,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BG,Y22,intensity_liquid,0.0141,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,BG,Y22,intensity_total,4.5155,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,BG,Y22,fuel_envelope,333.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,BG,Y23,intensity_electricity,0.2169,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,BG,Y23,intensity_liquid,0.0665,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,BG,Y23,intensity_liquid,0.0139,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,BG,Y23,intensity_total,5.5926,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,BG,Y23,fuel_envelope,241.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BH,Y21,fuel_envelope,1719.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BH,Y22,fuel_envelope,1675.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BH,Y23,fuel_envelope,1940.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BJ,Y21,fuel_envelope,0.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BJ,Y22,fuel_envelope,6.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BJ,Y23,fuel_envelope,6.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BN,Y22,fuel_envelope,142.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BN,Y23,fuel_envelope,132.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BO,Y21,fuel_envelope,3647.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,BO,Y22,fuel_envelope,4053.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
