region,synth,pkm_tot,gaso_coverage
AT,True,87293.0,1.0
AU,False,211164.0,0.593
BE,False,96302.0,1.0
BG,True,18121.0,1.0
BR,True,332890.0,1.0
CA,True,351702.0,1.0
CH,False,74128.0,0.848
CN,True,1625660.0,1.0
CY,True,11424.0,1.0
CZ,False,55609.0,1.0
DE,False,789877.0,1.0
DK,False,49146.0,1.0
EE,True,10347.0,1.0
ES,False,318365.0,1.0
FI,False,51140.0,1.0
FR,False,813.0,0.002
GB,False,514184.0,1.0
GR,True,110239.0,1.0
HR,False,22501.0,1.0
HU,False,49821.0,1.0
ID,True,238269.0,1.0
IE,True,44377.0,1.0
IN,True,289080.0,1.0
IT,False,566746.0,1.0
JP,False,589759.0,0.572
KR,False,192931.0,1.0
LT,False,18811.0,1.0
LU,True,5334.0,1.0
LV,False,10258.0,1.0
MT,True,2819.0,1.0
MX,True,471158.0,1.0
NL,False,142577.0,1.0
NO,False,49832.0,1.0
PL,False,194263.0,1.0
PT,True,66577.0,1.0
RO,True,31162.0,1.0
RU,True,1049804.0,1.0
SE,False,87556.0,1.0
SI,True,23274.0,1.0
SK,False,23201.0,1.0
TR,False,125671.0,1.0
US,False,3832712.0,0.78
WA,True,752874.0,1.0
WE,True,185573.0,1.0
WF,True,231031.0,1.0
WL,True,434597.0,1.0
WM,True,1445350.0,1.0
ZA,True,145779.0,1.0
