region,tech,share,intensity,intensity_unit,carrier,occupancy,pkm_obs,tier,provenance
AT,CAR.G,0.434,5.744344e-05,t/vkm,GASO,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
AT,CAR.D,0.565,5.744344e-05,t/vkm,DIES,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
AT,CAR.LPG,0.0,5.485533e-05,t/vkm,LPG,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
AT,CAR.CNG,0.0005,3.545470e-05,t/vkm,NGAS,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
AT,CAR.E,0.0004,8.185288e-07,TJ/vkm,ELE,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
AT,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
BE,CAR.G,0.369,5.744344e-05,t/vkm,GASO,1.5,109985.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BE,CAR.D,0.6308,5.744344e-05,t/vkm,DIES,1.5,109985.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BE,CAR.LPG,0.0,5.485533e-05,t/vkm,LPG,1.5,109985.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BE,CAR.CNG,0.0001,3.545470e-05,t/vkm,NGAS,1.5,109985.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
