child,site,year,turnover_MEUR,volume_M,vol_source,price,unit,verdict
HGV,AT,Y11,9289.1,21364.0,ESTAT,0.4348,EUR/tkm,ok
HGV,AT,Y19,9800.8,18432.0,ESTAT,0.5317,EUR/tkm,HIGH
HGV,BE,Y11,11627.3,25878.0,ESTAT,0.4493,EUR/tkm,ok
HGV,BE,Y19,12616.1,27618.0,ESTAT,0.4568,EUR/tkm,HIGH
HGV,BG,Y11,2490.1,17988.0,ESTAT,0.1384,EUR/tkm,ok
HGV,BG,Y19,4429.8,17442.0,ESTAT,0.254,EUR/tkm,ok
HGV,CY,Y11,174.8,505.0,ESTAT,0.3461,EUR/tkm,ok
HGV,CY,Y19,195.0,473.0,ESTAT,0.4123,EUR/tkm,ok
HGV,CZ,Y19,9687.1,33087.0,ESTAT,0.2928,EUR/tkm,ok
HGV,DE,Y11,36757.7,275894.0,ESTAT,0.1332,EUR/tkm,ok
HGV,DE,Y19,47437.0,272681.0,ESTAT,0.174,EUR/tkm,ok
HGV,DK,Y11,5187.2,14158.0,ESTAT,0.3664,EUR/tkm,ok
HGV,DK,Y19,6413.2,13293.0,ESTAT,0.4824,EUR/tkm,HIGH
HGV,ES,Y19,36212.6,239153.0,ESTAT,0.1514,EUR/tkm,ok
HGV,FI,Y11,5680.8,24908.0,ESTAT,0.2281,EUR/tkm,ok
HGV,FI,Y19,6495.7,27153.0,ESTAT,0.2392,EUR/tkm,ok
HGV,FR,Y11,44019.1,152487.0,ESTAT,0.2887,EUR/tkm,ok
HGV,FR,Y19,52738.9,152228.0,ESTAT,0.3464,EUR/tkm,ok
HGV,GB,Y11,26986.7,92823.0,ESTAT,0.2907,EUR/tkm,ok
HGV,GR,Y11,2817.7,13421.0,ESTAT,0.2099,EUR/tkm,ok
HGV,GR,Y19,2658.1,15512.0,ESTAT,0.1714,EUR/tkm,ok
HGV,HR,Y19,1834.9,10855.0,ESTAT,0.169,EUR/tkm,ok
HGV,HU,Y11,4413.1,30762.0,ESTAT,0.1435,EUR/tkm,ok
HGV,HU,Y19,6248.9,33156.0,ESTAT,0.1885,EUR/tkm,ok
HGV,IE,Y19,2963.5,8994.0,ESTAT,0.3295,EUR/tkm,ok
HGV,IT,Y11,46700.2,129075.0,ESTAT,0.3618,EUR/tkm,ok
HGV,IT,Y19,50282.0,130913.0,ESTAT,0.3841,EUR/tkm,ok
HGV,LT,Y11,2725.1,20307.0,ESTAT,0.1342,EUR/tkm,ok
HGV,LT,Y19,6772.4,51711.0,ESTAT,0.131,EUR/tkm,ok
HGV,LU,Y11,1233.2,7712.0,ESTAT,0.1599,EUR/tkm,ok
HGV,LU,Y19,1466.0,3776.0,ESTAT,0.3882,EUR/tkm,ok
HGV,LV,Y11,1122.8,11167.0,ESTAT,0.1005,EUR/tkm,ok
HGV,LV,Y19,1555.5,14092.0,ESTAT,0.1104,EUR/tkm,ok
HGV,NL,Y11,19739.4,65762.0,ESTAT,0.3002,EUR/tkm,ok
HGV,NL,Y19,24998.6,59904.0,ESTAT,0.4173,EUR/tkm,ok
HGV,NO,Y11,5503.3,14841.0,ESTAT,0.3708,EUR/tkm,ok
HGV,NO,Y19,5947.2,17406.0,ESTAT,0.3417,EUR/tkm,ok
HGV,PL,Y11,19154.1,178269.0,ESTAT,0.1074,EUR/tkm,ok
HGV,PL,Y19,38250.6,313118.0,ESTAT,0.1222,EUR/tkm,ok
HGV,PT,Y11,4985.7,31771.0,ESTAT,0.1569,EUR/tkm,ok
HGV,PT,Y19,6325.4,26924.0,ESTAT,0.2349,EUR/tkm,ok
HGV,RO,Y11,5161.6,18271.0,ESTAT,0.2825,EUR/tkm,ok
HGV,RO,Y19,11044.4,48939.0,ESTAT,0.2257,EUR/tkm,ok
HGV,RS,Y19,2076.4,8175.0,ITF,0.254,EUR/tkm,ok
HGV,SE,Y11,10818.4,33465.0,ESTAT,0.3233,EUR/tkm,ok
HGV,SE,Y19,11547.0,39163.0,ESTAT,0.2948,EUR/tkm,ok
HGV,SI,Y11,2109.6,15054.0,ESTAT,0.1401,EUR/tkm,ok
HGV,SI,Y19,3252.3,22671.0,ESTAT,0.1435,EUR/tkm,ok
HGV,SK,Y11,2480.0,28140.0,ESTAT,0.0881,EUR/tkm,ok
HGV,SK,Y19,4227.8,31951.0,ESTAT,0.1323,EUR/tkm,ok
BUS,BE,Y11,1033.3,17669.0,ESTAT,0.0585,EUR/pkm,ok
BUS,BG,Y11,462.5,9480.6,ESTAT,0.0488,EUR/pkm,ok
BUS,BG,Y19,531.2,8952.7,ESTAT,0.0593,EUR/pkm,ok
BUS,CZ,Y19,1765.9,16141.0,ESTAT,0.1094,EUR/pkm,ok
BUS,DE,Y11,18887.5,77957.0,ESTAT,0.2423,EUR/pkm,ok
BUS,DE,Y19,38826.2,79500.0,ESTAT,0.4884,EUR/pkm,HIGH
BUS,DK,Y19,3410.8,6992.0,ESTAT,0.4878,EUR/pkm,HIGH
BUS,EE,Y11,123.9,1725.4,ESTAT,0.0718,EUR/pkm,ok
BUS,ES,Y11,9335.4,55742.0,ESTAT,0.1675,EUR/pkm,ok
BUS,FI,Y11,1795.0,7540.0,ESTAT,0.2381,EUR/pkm,ok
BUS,FI,Y19,1694.3,7900.0,ESTAT,0.2145,EUR/pkm,ok
BUS,FR,Y11,17527.1,51.1,ESTAT,343.0229,EUR/pkm,HIGH
BUS,FR,Y19,25823.1,53857.3,ESTAT,0.4795,EUR/pkm,HIGH
BUS,HR,Y11,293.8,3145.0,ESTAT,0.0934,EUR/pkm,ok
BUS,HR,Y19,533.3,4022.0,ESTAT,0.1326,EUR/pkm,ok
BUS,HU,Y11,1124.6,16456.0,ESTAT,0.0683,EUR/pkm,ok
BUS,HU,Y19,138.3,17117.4,ESTAT,0.0081,EUR/pkm,LOW
BUS,IT,Y11,11132.0,108319.0,ESTAT,0.1028,EUR/pkm,ok
BUS,IT,Y19,12914.1,104293.0,ESTAT,0.1238,EUR/pkm,ok
BUS,LT,Y11,269.3,2748.0,ESTAT,0.098,EUR/pkm,ok
BUS,LT,Y19,365.6,2901.3,ESTAT,0.126,EUR/pkm,ok
BUS,LV,Y11,152.6,2820.1,ESTAT,0.0541,EUR/pkm,ok
BUS,LV,Y19,215.4,2568.8,ESTAT,0.0839,EUR/pkm,ok
BUS,MK,Y11,71.6,1640.0,ESTAT,0.0437,EUR/pkm,ok
BUS,MK,Y19,139.8,2028.0,ESTAT,0.0689,EUR/pkm,ok
BUS,NL,Y11,1869.7,5900.0,ESTAT,0.3169,EUR/pkm,ok
BUS,NL,Y19,1906.8,615.0,ESTAT,3.1005,EUR/pkm,HIGH
BUS,NO,Y11,2808.2,4748.0,ESTAT,0.5914,EUR/pkm,HIGH
BUS,PL,Y11,3558.7,40126.0,ESTAT,0.0887,EUR/pkm,ok
BUS,PT,Y11,1189.7,4700.0,ESTAT,0.2531,EUR/pkm,ok
BUS,PT,Y19,1601.5,6653.9,ESTAT,0.2407,EUR/pkm,ok
BUS,RO,Y19,1741.6,23624.0,ESTAT,0.0737,EUR/pkm,ok
BUS,SK,Y11,401.5,5418.9,ESTAT,0.0741,EUR/pkm,ok
BUS,SK,Y19,376.4,5212.0,ESTAT,0.0722,EUR/pkm,ok
TRN.P,AT,Y11,691.1,10778.0,ESTAT,0.0641,EUR/pkm,ok
TRN.P,BE,Y19,3423.9,10849.0,ITF,0.3156,EUR/pkm,HIGH
TRN.P,DE,Y11,11188.9,89316.0,ESTAT,0.1253,EUR/pkm,ok
TRN.P,EE,Y11,13.5,243.0,ESTAT,0.0556,EUR/pkm,ok
TRN.P,ES,Y11,2232.4,22931.0,ESTAT,0.0974,EUR/pkm,ok
TRN.P,ES,Y19,2529.3,28847.0,ESTAT,0.0877,EUR/pkm,ok
TRN.P,FR,Y11,19910.6,105596.0,ITF,0.1886,EUR/pkm,ok
TRN.P,FR,Y19,25987.2,93504.0,ESTAT,0.2779,EUR/pkm,HIGH
TRN.P,GB,Y11,10010.2,58462.0,ESTAT,0.1712,EUR/pkm,ok
TRN.P,IT,Y11,5055.3,46845.0,ITF,0.1079,EUR/pkm,ok
TRN.P,IT,Y19,8423.2,56586.0,ESTAT,0.1489,EUR/pkm,ok
TRN.P,NO,Y11,473.2,3076.0,ESTAT,0.1538,EUR/pkm,ok
TRN.P,NO,Y19,648.9,3715.0,ESTAT,0.1747,EUR/pkm,ok
TRN.P,PL,Y11,634.3,17633.0,ESTAT,0.036,EUR/pkm,ok
TRN.P,PL,Y19,851.0,22056.0,ITF,0.0386,EUR/pkm,ok
TRN.P,RO,Y11,217.0,5063.0,ESTAT,0.0429,EUR/pkm,ok
TRN.P,RO,Y19,223.9,5906.0,ESTAT,0.0379,EUR/pkm,ok
TRN.P,SE,Y11,1033.6,11379.0,ESTAT,0.0908,EUR/pkm,ok
TRN.P,SE,Y19,1031.4,14617.0,ESTAT,0.0706,EUR/pkm,ok
TRN.F,AT,Y11,2011.8,20345.0,ITF,0.0989,EUR/tkm,ok
TRN.F,AT,Y19,2190.8,21736.0,ITF,0.1008,EUR/tkm,ok
TRN.F,BG,Y11,115.3,3291.0,ITF,0.035,EUR/tkm,ok
TRN.F,BG,Y19,126.5,3901.6,ITF,0.0324,EUR/tkm,ok
TRN.F,DE,Y11,6199.2,113317.0,ITF,0.0547,EUR/tkm,ok
TRN.F,DE,Y19,7477.9,138247.0,ITF,0.0541,EUR/tkm,ok
TRN.F,EE,Y11,163.1,6271.0,ITF,0.026,EUR/tkm,ok
TRN.F,ES,Y11,18.2,9593.0,ITF,0.0019,EUR/tkm,LOW
TRN.F,ES,Y19,294.5,10459.0,ITF,0.0282,EUR/tkm,ok
TRN.F,FR,Y11,383.2,34202.0,ITF,0.0112,EUR/tkm,ok
TRN.F,FR,Y19,103.1,34617.0,ITF,0.003,EUR/tkm,LOW
TRN.F,GB,Y11,1035.0,20973.8,ITF,0.0493,EUR/tkm,ok
TRN.F,HR,Y11,134.2,2438.0,ITF,0.055,EUR/tkm,ok
TRN.F,HR,Y19,90.3,2911.0,ITF,0.031,EUR/tkm,ok
TRN.F,HU,Y11,434.9,9118.0,ITF,0.0477,EUR/tkm,ok
TRN.F,HU,Y19,465.2,10624.9,ITF,0.0438,EUR/tkm,ok
TRN.F,IT,Y11,327.3,19787.0,ITF,0.0165,EUR/tkm,ok
TRN.F,IT,Y19,551.0,21309.0,ITF,0.0259,EUR/tkm,ok
TRN.F,LT,Y11,477.2,15088.0,ITF,0.0316,EUR/tkm,ok
TRN.F,NO,Y11,187.4,3574.0,ITF,0.0524,EUR/tkm,ok
TRN.F,PL,Y11,2227.6,53746.0,ITF,0.0414,EUR/tkm,ok
TRN.F,PL,Y19,1955.5,54584.0,ITF,0.0358,EUR/tkm,ok
TRN.F,RO,Y11,737.9,14719.0,ITF,0.0501,EUR/tkm,ok
TRN.F,RO,Y19,760.5,13312.0,ITF,0.0571,EUR/tkm,ok
TRN.F,RS,Y19,122.1,2865.0,ITF,0.0426,EUR/tkm,ok
TRN.F,SE,Y11,844.8,22864.0,ITF,0.0369,EUR/tkm,ok
TRN.F,SE,Y19,556.2,22222.1,ITF,0.025,EUR/tkm,ok
TRN.F,SI,Y11,230.9,3752.0,ITF,0.0615,EUR/tkm,ok
PIPE,AT,Y11,809.0,7228.0,ITF,0.1119,EUR/tkm,HIGH
PIPE,BE,Y11,67.8,1450.0,ITF,0.0468,EUR/tkm,ok
PIPE,DE,Y11,3499.3,15623.0,ITF,0.224,EUR/tkm,HIGH
PIPE,FR,Y11,2257.7,17207.0,ITF,0.1312,EUR/tkm,HIGH
PIPE,FR,Y19,789.1,12162.0,ITF,0.0649,EUR/tkm,ok
PIPE,GB,Y11,653.5,10024.0,ITF,0.0652,EUR/tkm,ok
PIPE,IT,Y11,2548.8,9954.0,ITF,0.2561,EUR/tkm,HIGH
PIPE,IT,Y19,3735.9,10099.0,ITF,0.3699,EUR/tkm,HIGH
PIPE,NL,Y11,376.4,5502.0,ITF,0.0684,EUR/tkm,ok
PIPE,NL,Y19,183.2,6697.0,ITF,0.0274,EUR/tkm,ok
PIPE,NO,Y11,354.0,3372.0,ITF,0.105,EUR/tkm,HIGH
PIPE,PL,Y11,802.8,23461.0,ITF,0.0342,EUR/tkm,ok
PIPE,PL,Y19,1080.5,19394.0,ITF,0.0557,EUR/tkm,ok
PIPE,RO,Y11,397.5,879.0,ITF,0.4522,EUR/tkm,HIGH
PIPE,RO,Y19,475.9,1168.0,ITF,0.4074,EUR/tkm,HIGH
