region,block,child,MEUR,Q,implied_price
ZA,road_pipe,ROAD.FRT,10763.8,,
ZA,road_pipe,ROAD.PAX,2664.1,,
ZA,rail,TRN.P,3780.3,,
ZA,rail,TRN.F,3089.2,,
RO,road_pipe,ROAD.FRT,7590.9,18271.0,0.4155
RO,road_pipe,ROAD.PAX,1579.2,,
RO,rail,TRN.P,573.4,5063.0,0.1133
RO,rail,TRN.F,1950.5,14719.0,0.1325
MX,road_pipe,ROAD.FRT,40828.2,226900.0,0.1799
MX,road_pipe,ROAD.PAX,10105.2,,
MX,rail,TRN.P,13.5,891.0,0.0151
MX,rail,TRN.F,590.7,79728.0,0.0074
CH,road_pipe,ROAD.FRT,11829.6,9867.0,1.1989
CH,road_pipe,ROAD.PAX,2927.9,,
CH,rail,TRN.P,2883.3,19387.0,0.1487
CH,rail,TRN.F,2356.2,11526.0,0.2044
LU,road_pipe,ROAD.FRT,849.9,7712.0,0.1102
LU,road_pipe,ROAD.PAX,137.3,,
LU,rail,TRN.P,201.4,349.0,0.5772
LU,rail,TRN.F,164.6,270.0,0.6096
KR,road_pipe,ROAD.FRT,16681.8,104476.0,0.1597
KR,road_pipe,ROAD.PAX,12385.6,,
KR,rail,TRN.P,10891.9,63044.0,0.1728
KR,rail,TRN.F,846.3,9997.0,0.0847
IN,road_pipe,ROAD.FRT,83040.0,1407800.0,0.059
IN,road_pipe,ROAD.PAX,20552.8,,
IN,rail,TRN.P,11693.1,1046522.0,0.0112
IN,rail,TRN.F,3652.2,667607.0,0.0055
LT,road_pipe,ROAD.FRT,2362.3,20307.0,0.1163
LT,road_pipe,ROAD.PAX,233.4,2748.0,0.0849
LT,rail,TRN.P,0.0,269.0,0.0
LT,rail,TRN.F,719.2,15088.0,0.0477
SK,road_pipe,ROAD.FRT,3370.4,28140.0,0.1198
SK,road_pipe,ROAD.PAX,545.5,5418.9,0.1007
SK,rail,TRN.P,1505.6,2431.0,0.6193
SK,rail,TRN.F,1230.4,7960.0,0.1546
LV,road_pipe,ROAD.FRT,1688.7,11167.0,0.1512
LV,road_pipe,ROAD.PAX,229.4,2820.1,0.0813
LV,rail,TRN.P,348.9,733.0,0.476
LV,rail,TRN.F,285.1,21410.0,0.0133
CZ,road_pipe,ROAD.FRT,7551.4,49910.0,0.1513
CZ,road_pipe,ROAD.PAX,1869.0,14814.0,0.1262
CZ,rail,TRN.P,1297.6,6669.0,0.1946
CZ,rail,TRN.F,1060.4,14316.0,0.0741
CN,road_pipe,ROAD.FRT,94556.8,5137474.0,0.0184
CN,road_pipe,ROAD.PAX,23403.3,,
CN,rail,TRN.P,15421.1,961229.0,0.016
CN,rail,TRN.F,23150.9,2946579.0,0.0079
GR,road_pipe,ROAD.FRT,134.3,13421.0,0.01
GR,road_pipe,ROAD.PAX,33.2,,
GR,rail,TRN.P,1583.0,958.0,1.6524
GR,rail,TRN.F,1293.6,352.0,3.675
TR,road_pipe,ROAD.FRT,41888.5,203072.0,0.2063
TR,road_pipe,ROAD.PAX,10367.6,95334.0,0.1088
TR,rail,TRN.P,12630.6,4002.0,3.1561
TR,rail,TRN.F,10321.6,11677.0,0.8839
IE,road_pipe,ROAD.FRT,5076.6,7696.0,0.6596
IE,road_pipe,ROAD.PAX,1256.5,,
IE,rail,TRN.P,1297.6,1638.0,0.7922
IE,rail,TRN.F,1060.4,105.0,10.0991
CA,road_pipe,ROAD.FRT,29443.6,224325.0,0.1313
CA,road_pipe,ROAD.PAX,7287.4,,
CA,rail,TRN.P,64.9,1404.4,0.0462
CA,rail,TRN.F,7852.0,347824.0,0.0226
NO,road_pipe,ROAD.FRT,5320.3,14841.0,0.3585
NO,road_pipe,ROAD.PAX,2715.0,4748.0,0.5718
NO,rail,TRN.P,632.0,3076.0,0.2055
NO,rail,TRN.F,250.3,3574.0,0.07
ES,road_pipe,ROAD.FRT,40432.7,196087.0,0.2062
ES,road_pipe,ROAD.PAX,10007.3,55742.0,0.1795
ES,rail,TRN.P,3812.6,22931.0,0.1663
ES,rail,TRN.F,31.1,9593.0,0.0032
SI,road_pipe,ROAD.FRT,2422.6,15054.0,0.1609
SI,road_pipe,ROAD.PAX,245.2,,
SI,rail,TRN.P,0.0,689.0,0.0
SI,rail,TRN.F,664.1,3752.0,0.177
RU,road_pipe,ROAD.FRT,35819.3,,
RU,road_pipe,ROAD.PAX,8865.5,,
RU,rail,TRN.P,8447.5,,
RU,rail,TRN.F,6903.2,,
FR,road_pipe,ROAD.FRT,43523.9,152487.0,0.2854
FR,road_pipe,ROAD.PAX,17330.1,51.1,339.1666
FR,rail,TRN.P,33384.6,105596.0,0.3162
FR,rail,TRN.F,643.1,34202.0,0.0188
JP,road_pipe,ROAD.FRT,176098.9,246400.0,0.7147
JP,road_pipe,ROAD.PAX,43585.4,,
JP,rail,TRN.P,74594.8,395067.0,0.1888
JP,rail,TRN.F,1850.0,19998.0,0.0925
NL,road_pipe,ROAD.FRT,24365.5,65762.0,0.3705
NL,road_pipe,ROAD.PAX,2306.8,5900.0,0.391
NL,rail,TRN.P,1975.7,16500.0,0.1197
NL,rail,TRN.F,1614.5,6378.0,0.2531
PL,road_pipe,ROAD.FRT,20418.9,178269.0,0.1145
PL,road_pipe,ROAD.PAX,3793.0,40126.0,0.0945
PL,rail,TRN.P,1869.6,17633.0,0.106
PL,rail,TRN.F,6567.4,53746.0,0.1222
DE,road_pipe,ROAD.FRT,49417.9,275894.0,0.1791
DE,road_pipe,ROAD.PAX,25388.8,77957.0,0.3257
DE,rail,TRN.P,20969.1,89316.0,0.2348
DE,rail,TRN.F,11616.9,113317.0,0.1025
WF,road_pipe,ROAD.FRT,39278.9,,
WF,road_pipe,ROAD.PAX,9721.7,,
WF,rail,TRN.P,7021.4,,
WF,rail,TRN.F,5737.8,,
ID,road_pipe,ROAD.FRT,19421.2,,
ID,road_pipe,ROAD.PAX,4806.8,,
ID,rail,TRN.P,428.4,,
ID,rail,TRN.F,350.1,,
PT,road_pipe,ROAD.FRT,4183.4,31771.0,0.1317
PT,road_pipe,ROAD.PAX,998.6,4700.0,0.2125
PT,rail,TRN.P,1231.5,4237.0,0.2906
PT,rail,TRN.F,1006.3,2322.0,0.4334
AU,road_pipe,ROAD.FRT,23320.9,191590.1,0.1217
AU,road_pipe,ROAD.PAX,5772.0,,
AU,rail,TRN.P,789.1,14770.6,0.0534
AU,rail,TRN.F,6850.1,261830.6,0.0262
GB,road_pipe,ROAD.FRT,33000.1,92823.0,0.3555
GB,road_pipe,ROAD.PAX,20877.3,,
GB,rail,TRN.P,16416.2,58462.0,0.2808
GB,rail,TRN.F,1697.2,20973.8,0.0809
US,road_pipe,ROAD.FRT,136863.4,2379954.0,0.0575
US,road_pipe,ROAD.PAX,33874.4,,
US,rail,TRN.P,699.7,32579.5,0.0215
US,rail,TRN.F,26630.9,2532647.5,0.0105
WL,road_pipe,ROAD.FRT,46747.3,,
WL,road_pipe,ROAD.PAX,11570.2,,
WL,rail,TRN.P,5775.6,,
WL,rail,TRN.F,4719.8,,
EE,road_pipe,ROAD.FRT,1134.8,5607.0,0.2024
EE,road_pipe,ROAD.PAX,280.9,1725.4,0.1628
EE,rail,TRN.P,27.6,243.0,0.1134
EE,rail,TRN.F,333.1,6271.0,0.0531
SE,road_pipe,ROAD.FRT,13014.9,33465.0,0.3889
SE,road_pipe,ROAD.PAX,9033.0,,
SE,rail,TRN.P,2456.1,11379.0,0.2158
SE,rail,TRN.F,2007.1,22864.0,0.0878
HR,road_pipe,ROAD.FRT,1039.7,6842.0,0.152
HR,road_pipe,ROAD.PAX,257.3,3145.0,0.0818
HR,rail,TRN.P,246.2,1457.0,0.169
HR,rail,TRN.F,201.2,2438.0,0.0825
BE,road_pipe,ROAD.FRT,15067.9,25878.0,0.5823
BE,road_pipe,ROAD.PAX,1339.4,17669.0,0.0758
BE,rail,TRN.P,3061.7,10669.0,0.287
BE,rail,TRN.F,2502.0,6698.0,0.3735
MT,road_pipe,ROAD.FRT,163.4,,
MT,road_pipe,ROAD.PAX,40.4,,
MT,rail,TRN.P,50.9,,
MT,rail,TRN.F,41.6,,
WM,road_pipe,ROAD.FRT,52175.8,,
WM,road_pipe,ROAD.PAX,12913.8,,
WM,rail,TRN.P,8515.6,,
WM,rail,TRN.F,6958.9,,
WA,road_pipe,ROAD.FRT,94945.1,,
WA,road_pipe,ROAD.PAX,23499.4,,
WA,rail,TRN.P,13684.5,,
WA,rail,TRN.F,11182.8,,
AT,road_pipe,ROAD.FRT,8539.4,21364.0,0.3997
AT,road_pipe,ROAD.PAX,3540.7,,
AT,rail,TRN.P,947.5,10778.0,0.0879
AT,rail,TRN.F,2758.0,20345.0,0.1356
WE,road_pipe,ROAD.FRT,11000.9,,
WE,road_pipe,ROAD.PAX,2722.8,,
WE,rail,TRN.P,2097.0,,
WE,rail,TRN.F,1713.7,,
FI,road_pipe,ROAD.FRT,7448.5,24908.0,0.299
FI,road_pipe,ROAD.PAX,2353.4,7540.0,0.3121
FI,rail,TRN.P,1930.6,3882.0,0.4973
FI,rail,TRN.F,1577.7,9395.0,0.1679
BG,road_pipe,ROAD.FRT,2660.3,17988.0,0.1479
BG,road_pipe,ROAD.PAX,494.0,9480.6,0.0521
BG,rail,TRN.P,659.7,2059.0,0.3204
BG,rail,TRN.F,539.1,3291.0,0.1638
IT,road_pipe,ROAD.FRT,86499.4,129075.0,0.6701
IT,road_pipe,ROAD.PAX,20623.9,108319.0,0.1904
IT,rail,TRN.P,12225.8,46845.0,0.261
IT,rail,TRN.F,791.4,19787.0,0.04
BR,road_pipe,ROAD.FRT,34035.1,,
BR,road_pipe,ROAD.PAX,8423.8,,
BR,rail,TRN.P,11214.1,,
BR,rail,TRN.F,9164.1,,
HU,road_pipe,ROAD.FRT,4195.9,30762.0,0.1364
HU,road_pipe,ROAD.PAX,1069.4,16456.0,0.065
HU,rail,TRN.P,961.4,7763.0,0.1238
HU,rail,TRN.F,785.7,9118.0,0.0862
DK,road_pipe,ROAD.FRT,9046.8,14158.0,0.639
DK,road_pipe,ROAD.PAX,4308.4,,
DK,rail,TRN.P,490.6,6605.0,0.0743
DK,rail,TRN.F,400.9,2614.0,0.1534
CY,road_pipe,ROAD.FRT,176.8,505.0,0.3501
CY,road_pipe,ROAD.PAX,138.2,,
CY,rail,TRN.P,137.6,,
CY,rail,TRN.F,112.5,,
