region,sector,extracted_t,cell_share,weight
AT,Construction (45),77026.0,0.207,0.6
AT,"Wholesale trade and commission trade, except of motor v",49355.0,0.344,1.0
AT,"Retail trade, except of motor vehicles and motorcycles;",26098.0,0.344,1.0
AT,"Sale, maintenance, repair of motor vehicles, motor vehi",8952.0,0.344,1.0
AT,"Manufacture of cement, lime and plaster",5565.0,0.172,0.5
AT,Manufacture of beverages,4136.0,0.275,0.8
AT,Manufacture of machinery and equipment n.e.c. (29),3573.0,0.103,0.3
AT,Paper,3039.0,0.138,0.4
AU,"Wholesale trade and commission trade, except of motor v",299777.0,0.435,1.0
AU,Construction (45),245122.0,0.261,0.6
AU,"Retail trade, except of motor vehicles and motorcycles;",169660.0,0.435,1.0
AU,Mining of coal and lignite; extraction of peat (10),66654.0,0.044,0.1
AU,"Sale, maintenance, repair of motor vehicles, motor vehi",65722.0,0.435,1.0
AU,Sugar refining,38929.0,0.348,0.8
AU,Paper,29067.0,0.174,0.4
AU,Manufacture of glass and glass products,27064.0,0.218,0.5
BE,"Sale, maintenance, repair of motor vehicles, motor vehi",52950.0,0.53,1.0
BE,"Wholesale trade and commission trade, except of motor v",51059.0,0.53,1.0
BE,Construction (45),36613.0,0.318,0.6
BE,"Retail trade, except of motor vehicles and motorcycles;",26565.0,0.53,1.0
BE,Manufacture of beverages,13344.0,0.424,0.8
BE,Processing of Food products nec,13025.0,0.424,0.8
BE,Sugar refining,8424.0,0.424,0.8
BE,Manufacture of machinery and equipment n.e.c. (29),5571.0,0.159,0.3
BG,Construction (45),31689.0,0.5,0.6
BG,"Wholesale trade and commission trade, except of motor v",20830.0,0.8,1.0
BG,Manufacture of glass and glass products,14005.0,0.468,0.5
BG,"Sale, maintenance, repair of motor vehicles, motor vehi",8196.0,0.8,1.0
BG,Manufacture of beverages,6299.0,0.748,0.8
BG,Manufacture of machinery and equipment n.e.c. (29),6062.0,0.281,0.3
BG,"Manufacture of medical, precision and optical instrumen",4097.0,0.281,0.3
BG,"Manufacture of cement, lime and plaster",3640.0,0.468,0.5
BR,"Wholesale trade and commission trade, except of motor v",301794.0,0.154,1.0
