region,own_tkm,tier,load_own,int_hgv
AT,5348.0,ITF-observed,7.2,0.00027
BE,7229.0,ITF-observed,7.2,0.00027
BG,3269.0,ITF-observed,7.2,0.00027
CY,0.0,apply-side-from-B-child,7.2,0.00027
CZ,4920.0,ITF-observed,7.2,0.00027
DE,47936.0,ITF-observed,7.2,0.00027
DK,1832.0,ITF-observed,7.2,0.00027
EE,305.0,ITF-observed,7.2,0.00027
ES,10755.0,ITF-observed,7.2,0.00027
FI,1956.0,ITF-observed,7.2,0.00027
FR,32700.0,ITF-observed,7.2,0.00027
GR,6995.0,ITF-observed,7.2,0.00027
HR,2085.0,ITF-observed,7.2,0.00027
HU,3765.0,ITF-observed,7.2,0.00027
IE,2399.0,ITF-observed,7.2,0.00027
IT,13767.6,ITF-observed,7.2,0.00027
LT,1205.0,ITF-observed,7.2,0.00027
LU,1126.0,ITF-observed,7.2,0.00027
LV,964.0,ITF-observed,7.2,0.00027
MT,0.0,apply-side-from-B-child,7.2,0.00027
NL,7362.0,ITF-observed,7.2,0.00027
PL,40462.0,ITF-observed,7.2,0.00027
PT,4831.0,ITF-observed,7.2,0.00027
RO,8074.0,ITF-observed,7.2,0.00027
SE,2943.5,ITF-observed,7.2,0.00027
SI,750.0,ITF-observed,7.2,0.00027
SK,1044.0,ITF-observed,7.2,0.00027
GB,57233.1,ITF-observed,7.2,0.00027
NO,2643.7,EU-share-fallback,7.2,0.00027
CH,2675.4,EU-share-fallback,7.2,0.00027
TR,31273.1,EU-share-fallback,7.2,0.00027
RU,0.0,apply-side-from-B-child,7.2,0.00027
CN,791171.0,EU-share-fallback,7.2,0.00027
US,366512.9,EU-share-fallback,7.2,0.00027
JP,29125.0,ITF-observed,7.2,0.00027
IN,216801.2,EU-share-fallback,7.2,0.00027
CA,40834.6,EU-share-fallback,7.2,0.00027
KR,16089.3,EU-share-fallback,7.2,0.00027
BR,0.0,apply-side-from-B-child,7.2,0.00027
MX,34942.6,EU-share-fallback,7.2,0.00027
AU,29504.9,EU-share-fallback,7.2,0.00027
ID,0.0,apply-side-from-B-child,7.2,0.00027
ZA,0.0,apply-side-from-B-child,7.2,0.00027
TW,0.0,apply-side-from-B-child,7.2,0.00027
WA,0.0,apply-side-from-B-child,7.2,0.00027
WE,0.0,apply-side-from-B-child,7.2,0.00027
WF,0.0,apply-side-from-B-child,7.2,0.00027
WL,0.0,apply-side-from-B-child,7.2,0.00027
WM,0.0,apply-side-from-B-child,7.2,0.00027
