DATAFLOW,FREQ,REF_AREA,MEASURE,ACTIVITY,SIZE_CLASS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4922,S1T19,PS,2011,10574,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4923,S_GE10,PS,2011,205374,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H492,S_GE10,PS,2011,512459,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S_GE20,PS,2011,165105,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H492,S1T9,PS,2011,329060,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4921,S10T19,PS,2011,1540,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S10T19,PS,2011,8939,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S1T249,PS,2011,328646,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4923,S1T19,PS,2011,176816,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4923,S_GE20,PS,2011,193929,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4922,S10T19,ENT,2011,637,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4921,S_GE10,ENT,2011,774,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VALU,H4921,S_GE10,XDC,2011,5849594,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VALU,H4923,S10T19,XDC,2011,573769,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VALU,H492,_T,XDC,2011,24116962,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VALU,H4922,S50T249,XDC,2011,1625549,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VALU,H4923,S1T19,XDC,2011,3960256,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VALU,H4922,S1T9,XDC,2011,3298555,A,6,1
